,,,
,Theme,상황,매너 명칭,액션 가이드,따뜻한 한 줄,플래시카드,
,회의와 협업의 온도 (회의 및 프로젝트 매너),비대면 회의,마이크의 예절,내가 말하지 않을 때는 마이크를 소음 방지를 위해 음소거 해두기,"""작은 소음까지 차단하는 당신의 섬세함이 회의의 몰입도를 높입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),질문 답변,성실한 응답,"질문을 받았을 때 ""잘 모르겠는데요""보다 ""확인 후 언제까지 말씀드릴게요"" 하기","""끝까지 책임지려는 당신의 답변에서 진정한 프로의 향기가 납니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),문서 작성,가독성의 배려,보고서를 쓸 때 읽는 사람이 핵심을 바로 알 수 있게 두괄식으로 작성하기,"""읽는 이의 시간을 아껴주는 문서가 가장 설득력 있는 보고서입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),로드맵 공유,방향의 안내,장기 프로젝트의 경우 현재 위치와 향후 계획을 팀원들에게 자주 상기시키기,"""방향을 잃지 않게 돕는 당신의 안내가 팀을 승리로 이끕니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),실수 인정,빠른 고백,업무상 실수를 발견했다면 숨기지 않고 즉시 보고하여 대책 마련하기,"""실수를 인정하는 정직함이 더 큰 위기를 막는 가장 빠른 해결책입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),칭찬의 품격,구체적인 칭찬,"""수고했어"" 대신 ""이번 분석 자료의 시각화가 정말 훌륭했어""라고 칭찬하기","""디테일한 칭찬은 동료의 숨은 잠재력을 깨우는 마법의 주문입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),회의 태도,시각적 경청,발표자와 눈을 맞추거나 고개를 끄덕이며 '듣고 있음'을 표현하기,"""당신의 비언어적 반응이 발표자의 긴장을 자신감으로 바꿉니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),메시지 첫인상,다정한 첫인사,"""안녕하세요, OO님. 바쁘신데 실례합니다""로 대화 시작하기","""따뜻한 인사말 한 줄이 딱딱한 디지털 공간에 온기를 불어넣습니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),메일 제목,요약의 기술,"제목에 [요청], [긴급], [공지] 등 머리말을 달아 내용 짐작 돕기","""제목만 보고도 업무를 파악하게 돕는 당신은 배려 깊은 전략가입니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),메신저 답변,확인의 신호,바로 답하기 어려울 땐 '확인했습니다' 혹은 이모지 리액션 남기기,"""당신의 작은 반응이 상대방의 막연한 기다림을 확신으로 바꿉니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),늦은 시간,예약 발송의 미덕,밤늦게 떠오른 생각은 즉시 보내지 말고 다음 날 오전 예약 메시지로 설정하기,"""상대의 휴식권을 지켜주는 당신의 기다림이 건강한 팀 문화를 만듭니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),참조(CC),책임의 공유,메일 참조에 관련 담당자를 적절히 넣어 정보 소외 방지하기,"""참조 라인에 담긴 당신의 세심함이 팀의 유기적인 협업을 가능케 합니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),파일 이름,검색의 편의,"파일명에 날짜와 버전, 내용을 명확히 기재하기 (예: 260320_BLAZE_v1.3)","""이름 붙이기 하나에도 정성을 다하는 당신은 실수를 모르는 완벽주의자입니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),답장 안 함,부담 덜어주기,"간단한 공유 메시지 끝에 ""답장 안 하셔도 됩니다""라고 덧붙이기","""상대의 시간을 아껴주려는 당신의 문장에 다정함이 묻어납니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),이모지 활용,감정의 보완,텍스트가 너무 차갑게 느껴지지 않도록 적절한 미소 이모지 사용하기,"""이모지 하나가 오해의 소지를 없애고 대화의 분위기를 부드럽게 합니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),연속 메시지,알림의 배려,한 문장을 여러 번 끊어 보내기보다 한 번에 정리해서 보내기,"""연속적인 알림음을 자제하는 당신의 배려가 상대의 집중력을 지켜줍니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),중요 공지,강조의 매너,긴 메시지 중 중요한 날짜나 장소는 굵게 표시하거나 따로 요약하기,"""가독성을 생각하는 당신의 편집 능력이 소통의 오류를 줄입니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),휴가 중,상태 표시의 예의,휴가나 외부 미팅 시 메신저 상태 메시지를 업데이트해두기,"""나의 부재를 미리 알리는 당신의 친절이 팀원들의 헛걸음을 막아줍니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),이메일 서명,정보의 친절,"메일 하단에 성함, 직함, 연락처가 담긴 서명을 반드시 포함하기","""서명에 담긴 당신의 명확한 정보가 프로페셔널한 첫인상을 완성합니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),파일 용량,배려의 압축,고용량 파일을 보낼 때는 미리 압축하거나 다운로드 기한 확인하기,"""상대의 저장 공간까지 걱정하는 당신의 세심함에 감동이 차오릅니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),오타 확인,전송 전 1초,"메시지를 보내기 전, 이름과 숫자가 틀리지 않았는지 한 번 더 읽기","""전송 전 1초의 멈춤이 당신의 업무적 신뢰도를 100%로 유지해줍니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),멘션 활용,타겟팅 소통,단체방에서 특정인에게 할 말은 @이름 기능을 써서 명확히 알리기,"""정확한 타겟팅은 정보의 바다 속에서 팀원의 시간을 아껴주는 지혜입니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),감정 섞인 글,쉼표의 법칙,화가 났을 때는 메일을 바로 보내지 말고 임시 저장 후 1시간 뒤 다시 읽기,"""잠시 멈춘 당신의 손가락이 평생 공들인 평판을 지켜줍니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),답장 형식,인라인 답변,질문이 많을 땐 메일 본문에 색깔을 달리해 항목별로 답장하기,"""체계적인 답변 방식에서 당신의 명료한 논리력이 빛을 발합니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),전화 전 톡,노크의 예절,"갑자기 전화하기보다 메신저로 ""지금 통화 가능하신가요?""라고 먼저 묻기","""상대의 현재 업무 흐름을 존중하는 당신의 노크가 참 반갑습니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),링크 공유,설명의 추가,"링크만 띡 보내지 말고, 어떤 내용인지 짧은 설명을 덧붙이기","""설명이 있는 링크는 상대방의 클릭에 확신과 즐거움을 더해줍니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),수신 확인,기다림의 배려,상대가 메일을 읽었는지 재촉하기보다 적절한 시간을 두고 기다리기,"""기다려줄 줄 아는 당신의 여유가 동료에게 심리적 안전감을 줍니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),대화방 초대,양해의 절차,새로운 대화방에 사람들을 초대할 땐 초대 이유를 먼저 설명하기,"""이유를 밝히는 당신의 센스가 초대받은 이들의 당황스러움을 없애줍니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),스크린샷,핵심의 강조,화면 캡처본을 보낼 땐 중요한 부분에 빨간 박스나 화살표 표시하기,"""시각적 친절을 베푸는 당신 덕분에 복잡한 문제도 쉽게 해결됩니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),감사 인사,마지막 마침표,"업무 도움을 받은 후 ""감사합니다""라는 짤막한 메시지로 대화 마무리하기","""고맙다는 마지막 한마디가 오늘의 협업을 기분 좋은 기억으로 남깁니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),공유 제한,보안의 습관,대외비 문서를 공유할 때는 비밀번호 설정이나 열람 권한 확인하기,"""보안을 생활화하는 당신의 신중함이 회사의 소중한 자산을 지킵니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),이모지 리액션,공감의 표시,공지사항에 '확인' 댓글 대신 하트나 체크 이모지로 공감 표시하기,"""작은 이모지 하나가 팀의 응집력을 높이는 비타민이 됩니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),언어의 온도,부드러운 청유,"""해주세요""보다 ""해주실 수 있을까요?""라고 부드럽게 요청하기","""말투에 담긴 당신의 겸손함이 동료를 기꺼이 움직이게 만듭니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),메일 회신,전체 회신 주의,"전체 회신이 굳이 필요 없는 경우, 발신자에게만 답장해 메일함 비우기","""불필요한 메일을 줄여주는 당신의 분별력이 팀원들의 피로를 덜어줍니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),히스토리 유지,답변의 맥락,메일 회신 시 이전 내용을 지우지 않고 유지하여 맥락 파악 돕기,"""앞뒤 맥락을 챙기는 당신의 꼼꼼함이 소통의 오류를 원천 차단합니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),개인 대화,공간의 분리,사적인 이야기는 단체방이 아닌 개인 대화창(DM) 활용하기,"""공과 사를 구분하는 당신의 깔끔한 매너가 팀의 분위기를 지킵니다.""",,
,디지털 오피스의 예의 (메일 및 메신저),로그아웃,보안의 마침표,공용 컴퓨터 사용 후 메신저와 메일 로그아웃 반드시 확인하기,"""철저한 뒷정리가 당신의 완벽한 업무 마무리를 증명합니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),탕비실 얼음,마지막 얼음의 책임,"제빙기에서 마지막 얼음을 펐다면, 다음 사람을 위해 물을 채워두기","""당신의 작은 수고 덕분에 다음 동료는 시원한 휴식을 선물 받습니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),공용 냉장고,이름표의 배려,냉장고에 내 간식을 넣을 땐 이름과 날짜를 적은 포스트잇 붙이기,"""이름을 적는 명확함이 냉장고의 질서와 동료의 신뢰를 지킵니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),프린터/복사기,용지의 마침표,인쇄 중 종이가 떨어졌다면 모르는 척하지 말고 새 용지 채워넣기,"""종이를 채우는 당신의 성실함이 팀의 업무 흐름을 끊기지 않게 합니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),화장실 세면대,뽀송한 마감,손을 씻은 후 세면대 주변에 튄 물기를 휴지로 슥 한 번 닦기,"""당신이 머문 자리의 깨끗함에서 동료에 대한 깊은 존중이 느껴집니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),개인 통화,공간의 분리,사적인 통화나 긴 통화는 자리에서 낮게 하기보다 복도나 휴게실 활용하기,"""목소리를 낮추는 당신의 배려가 동료들의 소중한 집중력을 지켜줍니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),엘리베이터,열림의 미덕,타려는 사람이 보이면 '열림' 버튼을 눌러 여유 있게 기다려주기,"""잠시 멈춘 당신의 손가락이 동료의 바쁜 아침을 다정하게 응원합니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),회의실 의자,정돈의 뒷모습,회의가 끝난 후 내가 앉았던 의자를 테이블 안으로 바르게 밀어 넣기,"""정돈된 의자 하나가 당신의 깔끔한 업무 마무리 능력을 대변합니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),사무실 간식,나눔의 예의,냄새가 강한 음식은 자리보다 환기가 잘 되는 공용 공간에서 섭취하기,"""코끝까지 배려하는 당신의 센스가 쾌적한 사무실 공기를 만듭니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),책상 위 청결,시각적 소음 차단,서류나 물건이 옆자리까지 넘어가지 않도록 내 영역 깔끔히 유지하기,"""정돈된 당신의 책상은 동료의 시야까지 편안하게 만드는 마법입니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),공용 비품,제자리의 가치,스테이플러나 가위 등 공용 비품을 쓴 후엔 반드시 제자리에 두기,"""물건의 자리를 지켜주는 당신의 세심함이 모두의 시간을 아껴줍니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),냉난방 조절,온도의 합의,에어컨이나 히터 온도를 조절할 땐 주변 동료들에게 먼저 의견 묻기,"""모두의 쾌적함을 먼저 살피는 당신의 마음이 사무실의 온도를 높입니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),복도 보행,소리 없는 걸음,업무 집중 시간에는 복도에서 큰 소리로 대화하거나 뛰지 않기,"""당신의 조용한 걸음은 열중하고 있는 동료들에 대한 최고의 예우입니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),문 잡아주기,1초의 여유,"앞서가다 문을 열었을 때, 뒷사람이 올 때까지 잠시 문을 잡아주기","""당신이 내어준 1초가 뒷사람에게는 하루 중 가장 기분 좋은 순간이 됩니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),강한 향기,후각의 배려,너무 진한 향수나 향이 강한 핸드크림은 밀폐된 공간에서 자제하기,"""은은한 배려를 아는 당신의 향기가 동료들에게는 편안함으로 기억됩니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),전화 수신,부재중의 친절,옆자리 동료가 자리를 비웠을 때 전화가 길게 울리면 대신 받아 메모 남기기,"""당신의 대신 전한 메모 한 장이 팀의 유기적인 협업을 완성합니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),회의실 환기,신선한 공기,장시간 회의 후에는 창문을 열거나 문을 열어 공기를 순환시키기,"""공기까지 챙기는 당신의 세심함 덕분에 다음 팀이 활기차게 시작합니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),공용 컵/식기,즉시 세척,회사 컵을 사용했다면 싱크대에 방치하지 말고 바로 설거지하기,"""작은 마무리를 미루지 않는 당신의 부지런함이 탕비실의 품격을 높입니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),정수기 매너,양보의 물줄기,물통을 교체해야 할 때 못 본 척하지 않고 직접 교체하거나 도움 요청하기,"""무거운 물통을 기꺼이 책임지는 당신의 모습에서 리더십이 엿보입니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),사무용품 낭비,자원의 존중,회사의 소모품을 내 것처럼 아껴 쓰고 이면지 활용 생활화하기,"""작은 자원을 아끼는 당신의 마음이 회사의 소중한 가치를 지킵니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),쓰레기통,분리 배출의 정석,음식물이 묻은 쓰레기는 헹궈서 버리고 재활용 규칙 철저히 지키기,"""꼼꼼하게 분류하는 당신의 손길에 지구와 동료를 향한 사랑이 담겨 있습니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),키보드 소리,타건의 예절,조용한 사무실에서 키보드를 너무 세게 두드리지 않도록 주의하기,"""당신의 부드러운 타건 소리는 주변 동료들에게 평온한 배경음악이 됩니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),가습기 관리,위생의 공유,개인 가습기라도 주변에 습기가 너무 차지 않도록 방향 조절하기,"""주변 환경까지 살피는 당신의 섬세함이 모두의 건강한 업무를 돕습니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),복장 매너,시각적 예의,지나치게 노출이 심하거나 불쾌감을 줄 수 있는 복장은 지양하기,"""단정한 차림새는 당신의 전문성을 보여주는 가장 확실한 명함입니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),화장실 노크,똑똑의 미학,화장실 문을 두드릴 땐 상대가 놀라지 않게 아주 살짝 두 번만 하기,"""문 너머의 사람까지 배려하는 당신의 조심스러움이 참 따뜻합니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),우산 관리,빗방울 갈무리,비 오는 날 젖은 우산은 물기를 충분히 털고 우산꽂이에 정돈하기,"""바닥을 적시지 않는 당신의 깔끔함이 사무실의 쾌적함을 유지합니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),공용 충전기,완충의 배려,충전이 끝난 내 기기는 바로 분리하여 다음 사람이 쓸 수 있게 하기,"""선 하나를 양보하는 당신의 여유가 팀의 배터리를 가득 채웁니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),계단 이용,안전의 우측,계단에서는 우측으로 통행하며 스마트폰을 보느라 멈춰 서지 않기,"""안전을 최우선으로 하는 당신의 질서 의식이 사고 없는 일터를 만듭니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),흡연 매너,잔향의 관리,흡연 후에는 즉시 자리로 돌아오기보다 냄새를 충분히 털고 오기,"""보이지 않는 향기까지 관리하는 당신은 진정한 프로페셔널입니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),회의실 예약,시간의 약속,회의가 일찍 끝났다면 예약 시스템에서 즉시 종료 처리하여 공간 개방하기,"""공간을 나누는 당신의 빠른 행동이 팀원들의 업무 효율을 높여줍니다.""",,
,함께 쓰는 공간의 미학 (탕비실 및 공용 시설),퇴근 마침표,소등과 전원,마지막으로 퇴근할 때 공용 공간의 불이 꺼졌는지 한 번 더 확인하기,"""당신의 책임감 있는 마무리가 회사의 내일을 밝게 준비합니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),식사 메뉴,다수결의 배려,"못 먹는 음식을 미리 말하되, 메뉴 결정 시엔 다수의 의견 따르기","""취향을 나누고 의견을 조율하는 식탁에서 진정한 팀워크가 시작됩니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),수저 세팅,준비의 정성,"식당에 도착하면 인원수대로 수저와 물, 냅킨을 먼저 세팅하기","""작은 손길 하나로 동료들을 대접하는 당신의 마음이 참 든든합니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),음식 서빙,기다림의 미학,내 음식이 먼저 나왔더라도 모두의 음식이 나올 때까지 조금 기다리기,"""함께 시작하려는 당신의 배려가 식사 시간을 더욱 풍성하게 만듭니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),식사 속도,발맞춘 보폭,너무 빠르거나 느리지 않게 주변 사람들과 식사 속도 맞추기,"""상대의 속도를 살피는 당신의 여유가 편안한 대화의 장을 열어줍니다. """,,
,마음을 잇는 식탁 (식사 및 회식 매너),식사 중 대화,긍정의 소재,식사 자리에서 업무 질책이나 부정적인 이야기보다 가벼운 주제 나누기,"""즐거운 대화는 음식의 맛을 돋우고 동료 사이의 벽을 허뭅니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),반찬 공유,위생의 예절,공용 반찬을 집을 땐 개인 젓가락이 닿지 않도록 새 젓가락 활용하기,"""위생을 생각하는 당신의 깔끔한 습관이 서로에 대한 신뢰를 높입니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),추가 주문,의사 확인,"음료나 사리를 추가할 때는 ""더 필요하신 분 계세요?""라고 먼저 묻기","""한 번 더 묻는 당신의 세심함이 소외되는 사람 없는 식탁을 만듭니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),결제 매너,영수증의 투명,법인카드로 결제했다면 영수증을 챙겨 담당자에게 즉시 전달하기,"""꼼꼼한 뒷처리가 당신의 공적인 신뢰도를 한 층 더 높여줍니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),더치페이,정산의 속도,개인별 정산이 필요할 땐 계산 후 그 자리에서 즉시 송금하기,"""깔끔한 돈 관리는 우정만큼 깊은 동료애를 유지하는 비결입니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),회식 참여,의사의 존중,"회식 참여를 강요하지 않고, 못 가는 동료에게 아쉬운 내색 하지 않기","""각자의 선택을 존중하는 당신의 넓은 마음이 회식 문화를 바꿉니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),술자리 거절,정중한 양해,"술을 못 마실 땐 ""건강상의 이유로 오늘은 어렵습니다""라고 미리 알리기","""솔직하고 정중한 양해는 억지 술잔보다 훨씬 더 깊은 인상을 남깁니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),건배사,짧고 굵은 진심,건배사를 부탁받았다면 1분 내외로 짧고 긍정적인 메시지 전하기,"""당신의 간결한 한마디가 회식 자리의 분위기를 화기애애하게 만듭니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),상사 예우,상석의 양보,가급적 상사를 안쪽 상석으로 안내하고 편안한 자리 마련해드리기,"""어른을 모시는 당신의 예우에서 성숙한 인품이 묻어납니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),후배 챙기기,보이지 않는 손,막내 직원이 수저 세팅이나 고기 굽기를 독점하지 않게 함께 돕기,"""함께 움직이는 당신의 솔선수범이 후배들에게는 가장 큰 귀감이 됩니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),감사 인사,대접에 대한 예의,"식사를 대접받았다면 ""정말 잘 먹었습니다""라고 진심으로 인사하기","""당신의 따뜻한 인사 한마디는 대접한 이의 마음을 배부르게 합니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),식사 중 폰,눈맞춤의 몰입,식사 중엔 스마트폰을 내려놓고 앞에 앉은 동료의 이야기에 집중하기,"""화면보다 사람을 향하는 당신의 시선이 관계를 더욱 끈끈하게 만듭니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),배달 음식,언박싱의 협업,배달 음식이 오면 함께 포장을 뜯고 세팅하는 일에 동참하기,"""함께 준비하는 즐거움이 음식의 맛을 더욱 특별하게 만듭니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),음식물 정리,깔끔한 퇴장,식후 냅킨이나 이쑤시개는 보이지 않게 잘 갈무리하여 버리기,"""나간 자리가 깨끗한 당신은 언제 어디서나 다시 초대하고 싶은 사람입니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),치아 확인,거울의 매너,식사 직후엔 거울을 보며 용모를 체크하고 이물질 유무 확인하기,"""자기 관리에 철저한 당신의 모습은 언제나 완벽한 신뢰를 줍니다.""",,
,마음을 잇는 식탁 (식사 및 회식 매너),음식 취향,편식의 존중,특정 음식을 못 먹는 동료를 유난스럽게 생각하지 않고 배려하기,"""서로의 다름을 인정하는 당신의 포용력이 팀을 하나로 묶어줍니다.""",,
