,,,
,Theme,상황,매너 명칭,액션 가이드,따뜻한 한 줄,플래시카드,
,디지털 실버의 예의 (스마트폰 및 키오스크),링크 공유,제목의 친절,"링크만 보내지 말고 ""좋은 시라 보내네""처럼 짧은 설명 덧붙이기","""설명이 담긴 메시지에서 당신의 세심한 정성이 고스란히 느껴집니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),앱 사용,광고의 분별,낚시성 광고나 출처 불분명한 링크는 누르지 말고 자녀에게 먼저 묻기,"""조심스러운 당신의 습관이 소중한 정보와 안전을 지키는 방패가 됩니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),알림음 설정,진동의 미덕,공공기관이나 병원에서는 벨소리 대신 진동으로 설정해두기,"""작은 진동 하나가 정숙한 공간의 예의를 완성하는 큰 울림이 됩니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),사진 촬영,타인의 배려,풍경을 찍을 때 모르는 사람이 정면으로 찍히지 않도록 주의하기,"""타인의 사생활까지 살피는 당신의 시선이 참 따뜻하고 품위 있습니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),영상 통화,장소의 선정,영상 통화는 시끄러운 길거리보다 조용한 장소에서 멈춰서 하기,"""상대의 얼굴을 차분히 마주하려는 당신의 태도에 진심이 담깁니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),디지털 알림,알람의 해제,사용하지 않는 앱의 불필요한 알림은 꺼두어 소음 방지하기,"""불필요한 소리를 줄이는 당신의 센스가 주변을 평안하게 합니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),결제 대기,카드 미리 준비,"편의점이나 카페 결제 전, 카드를 미리 꺼내어 뒷사람 대기 줄이기","""미리 준비하는 당신의 민첩함이 모두의 흐름을 원활하게 돕습니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),QR 코드,입장 준비,식당이나 시설 입장 전 QR 코드나 앱을 미리 켜두는 습관 갖기,"""준비된 당신의 뒷모습에서 시대를 앞서가는 멋진 어른의 모습이 보입니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),글자 크기,시력의 배려,화면이 잘 안 보일 땐 폰을 눈에 너무 붙이기보다 글자 크기를 키우기,"""나를 위한 작은 설정 하나가 당신의 일상을 더 편리하고 품위 있게 합니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),대화 집중,폰 내려놓기,사람과 마주 앉아 있을 땐 휴대폰을 가방에 넣고 상대에게 집중하기,"""화면 속 소식보다 지금 당신 앞에 앉은 이의 눈동자가 훨씬 중요합니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),메신저 말투,끝맺음의 온정,"문장 끝에 '...' 보다는 '~해요', '~네' 처럼 부드럽게 마감하기","""부드러운 문체 속에 담긴 당신의 인자함이 상대의 마음을 녹입니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),정보 공유 시간,밤의 정적 준수,늦은 밤이나 이른 아침에는 단체방에 이미지나 메시지 보내지 않기,"""상대의 휴식 시간을 존중하는 침묵이 가장 품격 있는 대화입니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),중복 전송,요약의 지혜,같은 내용을 여러 번 보내기보다 한 번에 정리해서 보내기,"""간결한 메시지 전달이 상대방의 확인 수고를 덜어주는 큰 친절입니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),디지털 예절,비속어 사용 자제,줄임말이나 거친 표현 대신 정확한 표준어와 예쁜 말 사용하기,"""당신의 정갈한 언어 사용이 후배 세대들에게 귀감이 되는 교과서가 됩니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),프로필 사진,밝은 에너지,가급적 본인의 웃는 모습이나 화사한 풍경 사진으로 설정하기,"""당신의 밝은 미소 사진 한 장이 지인들에게 긍정의 기운을 전합니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),통화 종료,작별의 마침표,"전화 끊기 전 ""먼저 끊을게"" 혹은 상대가 끊을 때까지 잠시 기다리기","""마지막까지 챙기는 당신의 여유가 대화의 여운을 아름답게 만듭니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),음성 메시지,조율의 요청,긴 내용을 녹음해서 보낼 땐 상대가 들을 수 있는 상황인지 먼저 묻기,"""상대의 귀까지 배려하는 당신의 섬세함에 신뢰가 더욱 두터워집니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),앱 업데이트,보안의 습관,스마트폰 소프트웨어 업데이트 알림이 뜨면 미루지 않고 실행하기,"""최신 상태를 유지하는 당신의 꼼꼼함이 디지털 안전을 지키는 비결입니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),디지털 중독,오프라인의 가치,하루에 한 시간은 폰을 멀리하고 책을 보거나 산책하며 사색하기,"""폰을 내려놓고 세상과 직접 소통하는 당신의 모습이 참 여유롭고 멋집니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),버스/지하철,하차 벨의 여유,내릴 곳이 다가오면 미리 일어나기보다 멈춘 후 안전하게 내리기,"""서두르지 않는 당신의 안전한 걸음이 모두의 마음을 편안하게 합니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),임산부 배려,핑크 좌석 비우기,비어 있어도 가급적 임산부 배려석은 비워두거나 양보하기,"""당신의 비워둔 자리는 생명을 존중하는 어른의 가장 큰 품격입니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),백팩 매너,공간의 나눔,배낭을 맸다면 앞으로 메거나 발 아래에 두어 통로 확보하기,"""당신이 내어준 한 뼘의 공간이 만원 열차 속 작은 숨구멍이 됩니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),에스컬레이터,한 줄 서기의 예의,급한 사람을 위해 왼쪽을 비워두거나 걷지 않고 손잡이 잡고 서기,"""질서를 지키는 당신의 단정한 모습이 학교와 일터의 본보기가 됩니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),병원 대기실,정숙의 온도,대기 중에는 큰 소리로 대화하거나 전화를 길게 하지 않기,"""당신의 조용한 기다림이 아픈 이들에게는 가장 큰 위로와 응원이 됩니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),출입문,뒷사람 잡아주기,문을 열고 나갈 때 뒷사람이 오는지 살피고 잠시 잡아주기,"""당신의 따뜻한 1초가 뒷사람에게는 세상이 아직 살만하다는 증거가 됩니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),에어컨/히터,배려의 합의,공용 공간에서 온도를 조절할 땐 주변 사람들에게 먼저 물어보기,"""모두의 쾌적함을 살피는 당신의 너른 마음이 실내 기온보다 더 따뜻합니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),화장실 세면대,물기 닦기 매너,손 씻은 후 세면대에 튄 물기를 휴지로 가볍게 한 번 닦아내기,"""당신이 머문 자리의 뽀송함에서 멋진 어른의 향기가 느껴집니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),길거리 통행,우측보행 준수,마주 오는 사람과 부딪히지 않게 우측으로 걷고 중앙에 서지 않기,"""길 위의 작은 약속을 지키는 당신 덕분에 보행로가 안전한 소통의 장이 됩니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),엘리베이터,인사와 양보,이웃을 만나면 가벼운 목전례(눈인사)를 하고 내릴 땐 양보하기,"""먼저 건네는 당신의 눈인사가 삭막한 아파트 복도에 온기를 불어넣습니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),식당 대기,순서의 존중,줄이 길어도 새치기하지 않고 정해진 순서대로 차분히 기다리기,"""차례를 기다리는 당신의 뒷모습에서 흔들리지 않는 어른의 무게가 보입니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),공공 벤치,나란한 쉼터,벤치에 짐을 가득 올려두지 않고 옆 사람도 앉을 수 있게 비워두기,"""당신이 비워둔 벤치 반쪽이 지친 행인에게는 가장 고마운 의자가 됩니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),쓰레기 처리,정돈의 마무리,내가 머물다 간 자리에 쓰레기가 남지 않도록 직접 치우기,"""깨끗하게 비워진 자리에서 당신의 맑고 정갈한 성품이 드러납니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),비 오는 날,우산 물기 털기,건물 진입 전 우산의 빗물을 충분히 털고 비닐이나 우산꽂이 활용하기,"""바닥을 적시지 않는 당신의 세심함이 실내의 쾌적함을 지켜주는 힘입니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),극장/공연장,정시 입장의 예의,공연 시작 전 미리 착석하고 상영 중에는 대화나 이동 자제하기,"""시간을 지키는 당신의 정중함이 예술을 사랑하는 진정한 관객의 자세입니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),무인 키오스크,기다림의 미학,서툰 사람을 재촉하지 않고 여유 있게 기다려주거나 살짝 돕기,"""당신의 느긋한 기다림은 세상의 속도보다 훨씬 더 우아하고 빠릅니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),도서관/서점,책장의 소중함,읽은 책은 아무 데나 두지 말고 원래 자리나 북트럭에 바르게 두기,"""책을 소중히 다루는 당신의 손끝에서 지식에 대한 경외심이 느껴집니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),공공 화장실,뒷사람의 배려,사용 후 변기 뚜껑을 닫고 세면대의 머리카락 정리하기,"""작은 정리가 선사하는 쾌적함은 다음 사람에게 전하는 당신의 선물입니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),횡단보도,안전의 솔선수범,파란불이 켜져도 좌우를 살피고 천천히 건너며 아이들에게 본보기 되기,"""당신의 신중한 발걸음이 동네의 안전을 지키는 가장 큰 이정표입니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),시장/상점,흥정의 예의,과도하게 값을 깎기보다 상인의 노고를 인정해주며 정당한 대가 지불하기,"""상생을 생각하는 당신의 넉넉한 인심이 전통시장의 정을 이어갑니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),공용 주차장,선 안의 질서,주차 선을 지켜 바르게 주차하고 문콕이 발생하지 않게 조심하기,"""반듯하게 주차된 당신의 차 한 대가 이웃의 편리한 일상을 보장합니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),버스 승차,카드의 민첩함,타기 전 미리 카드를 준비해 뒷사람의 흐름을 방해하지 않기,"""미리 준비하는 당신의 세밀함이 모두의 시간을 아껴주는 지혜입니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),계단 이용,안전의 손잡이,무리하게 뛰지 않고 손잡이를 잡으며 천천히 이동하기,"""안전을 최우선으로 하는 당신의 습관이 모두의 건강한 일상을 만듭니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),강한 향수,후각의 배려,대중교통 이용 전 향수나 진한 냄새가 나는 로션 사용 자제하기,"""은은한 향기 뒤에 숨겨진 당신의 배려가 주변 사람들에게 평온을 줍니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),공공 게시판,정보의 보호,안내문을 훼손하지 않고 낙서하지 않으며 공적으로 존중하기,"""작은 공지 하나도 소중히 여기는 당신의 태도에서 공동체 의식이 빛납니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),박물관/전시,거리의 존중,전시물에 손을 대지 않고 정해진 거리를 유지하며 감상하기,"""작품을 아끼는 당신의 정중한 태도가 관람의 가치를 한 층 더 높여줍니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),상가 입구,통로 확보 매너,지인과 대화할 땐 가게 입구나 통로를 막지 않고 옆으로 이동하기,"""통로를 비워주는 당신의 작은 이동이 원활한 소통을 돕는 마중물이 됩니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),흡연 구역,비흡연자 배려,지정된 구역에서만 흡연하고 꽁초는 반드시 재떨이에 버리기,"""보이지 않는 연기까지 챙기는 당신의 깔끔함이 진정한 어른의 매너입니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),좁은 길,비켜섬의 미덕,마주 오는 사람이 있다면 잠시 멈춰 서서 먼저 지나가게 배려하기,"""먼저 양보하는 당신의 너그러움이 좁은 길을 넓은 마음의 공간으로 바꿉니다.""",,
,품격 있는 발걸음 (대중교통 및 공공시설),공공기관,친절한 응대,"창구 직원에게 화를 내기보다 ""고생 많으시네요""라고 먼저 인사하기","""당신의 부드러운 말 한마디가 누군가의 고된 업무를 기쁨으로 바꿉니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),조언의 순간,물어볼 때 답하기,상대가 먼저 조언을 구하기 전까지는 묵묵히 들어주기,"""기다려주는 당신의 침묵은 백 마디 말보다 더 깊은 울림을 줍니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),과거 회상,라떼는 금지,"""나 때는 말이야""라는 말 대신 ""요즘은 그렇구나""라고 공감하기","""과거의 무용담보다 현재의 공감이 당신을 더 멋진 어른으로 만듭니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),청년과의 대화,존칭의 생활화,"처음 본 젊은이에게도 ""학생"", ""저기요"" 대신 정중한 존댓말 쓰기","""당신이 건네는 정중한 언어는 서로의 인격을 높이는 가장 귀한 대우입니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),경청의 자세,7:3 법칙,"내 이야기는 3분만 하고, 상대의 이야기를 7분 동안 들어주기","""귀를 열고 마음을 내어주는 당신의 여유가 진정한 대화를 완성합니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),사생활 질문,경계의 존중,"자녀나 지인에게 취업, 결혼, 출산 등 민감한 질문은 삼가기","""묻지 않고 믿어주는 당신의 마음이 상대에게는 가장 큰 안식처가 됩니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),칭찬의 기술,구체적인 격려,"""잘하네""보다 ""너의 이런 노력이 참 보기 좋다""라고 칭찬하기","""디테일한 칭찬 한마디가 누군가의 가슴 속에 잊지 못할 별이 됩니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),실수와 사과,먼저 미안해하기,"잘못을 인지했다면 체면을 세우기보다 ""내가 미안해""라고 먼저 말하기","""먼저 사과하는 당신의 용기에서 흔들리지 않는 어른의 품격이 느껴집니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),새로운 유행,배움의 겸손,모르는 신조어나 기술이 나오면 무시하기보다 호기심 있게 물어보기,"""늘 배우려는 당신의 열린 마음은 나이를 잊게 하는 가장 젊은 에너지입니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),표정 관리,미소의 온기,무표정보다는 늘 입가에 은은한 미소를 머금고 대화하기,"""당신의 화사한 미소는 마주 앉은 이의 긴장을 녹이는 햇살과 같습니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),반복되는 말,했던 말 아끼기,같은 이야기를 반복하지 않도록 대화의 주제를 다양하게 가져가기,"""새로운 이야기를 나누려는 당신의 노력이 대화의 시간을 늘 신선하게 만듭니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),말 가로채기,마침표의 대기,상대방의 말이 끝나기 전에 끼어들지 않고 끝까지 기다리기,"""말을 가로채지 않는 인내심이 상대방의 마음을 온전히 얻는 열쇠입니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),전화 안부,다정한 용건,"용건만 간단히 말하기보다 ""목소리 들으니 좋다""는 말 덧붙이기","""따뜻한 안부 한마디가 전화기 너머의 인연을 더욱 돈독하게 연결합니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),비교 금지,각자의 가치,"""누구네 자식은~"" 하며 타인과 비교하는 대화 소재 피하기","""각자의 삶을 존중하는 당신의 넉넉함이 비교 없는 평화로운 세상을 만듭니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),호칭 예절,이름의 존중,"직함을 부르기 모호할 땐 ""님"" 혹은 성함 뒤에 정중한 호칭 붙이기","""이름을 소중히 불러주는 당신의 세심함이 상대의 존재감을 빛나게 합니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),부정적 언어,긍정의 전파,불평이나 험담보다는 희망적이고 긍정적인 이야기 나누기,"""당신의 긍정적인 언어가 주변을 행복한 기운으로 가득 채우는 축복이 됩니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),상대의 취향,다름의 인정,나와 다른 가치관을 가진 젊은 세대의 라이프스타일 존중하기,"""다름을 틀림으로 보지 않는 당신의 유연함이 세대 간의 벽을 허뭅니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),목소리 톤,적절한 볼륨,공공장소에서 지인과 대화할 땐 목소리가 너무 커지지 않게 조절하기,"""낮은 목소리에는 당신의 깊은 지혜와 타인에 대한 배려가 공존합니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),감사 인사,고마움의 표현,"작은 배려라도 받았다면 ""고마워요"", ""덕분입니다""라고 표현하기","""고맙다는 말 한마디는 당신의 품격을 완성하는 가장 우아한 마침표입니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),식사 초대,부담 없는 제안,"식사를 제안할 땐 ""시간 되면""이라고 덧붙여 상대의 부담 덜어주기","""상대의 일정을 먼저 배려하는 당신의 제안이 참 다정하고 사려 깊습니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),정치/종교,민감한 주제 피하기,생각의 차이가 큰 주제는 대화 소재로 삼지 않고 평화 유지하기,"""서로 웃으며 대화할 수 있는 안전한 주제가 관계를 오랫동안 지켜줍니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),자랑의 절제,은근한 겸손,"자식 자랑, 재산 자랑은 줄이고 상대방의 이야기에 더 집중하기","""자랑을 비운 자리에 경청을 채우는 당신은 진정으로 멋진 어른입니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),거절의 매너,정중한 사유,"부탁을 거절할 땐 화내지 않고 ""이런 이유로 어렵네""라고 부드럽게 말하기","""정중한 거절은 상대의 마음을 다치지 않게 하는 당신만의 세심한 기술입니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),선물 매너,마음의 증표,"선물을 줄 땐 생색내기보다 ""작은 성의야""라고 겸손하게 건네기","""대가를 바라지 않는 당신의 순수한 나눔이 진정한 감동을 만들어냅니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),모임 분위기,분위기 메이커,모임에서 소외된 사람이 있다면 먼저 말을 걸어 챙겨주기,"""모두를 아우르는 당신의 따뜻한 시선이 모임을 하나로 묶어주는 빛이 됩니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),상담 매너,판단 없는 공감,"누군가 고민을 말할 때 옳고 그름을 따지기보다 ""그랬구나""라고 해주기","""판단하지 않는 당신의 넓은 품이 지친 영혼에게는 가장 큰 휴식처입니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),문자 답장,확인의 응답,문자를 받으면 늦더라도 확인했다는 신호를 보내기,"""당신의 짧은 답장 하나가 기다리는 상대방의 마음을 안심으로 채웁니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),말투의 온도,부드러운 명령,"""해!"" 보다는 ""해주면 좋겠네""라고 청유형으로 말하기","""말투에 담긴 당신의 존중이 상대를 기쁘게 움직이게 하는 마법이 됩니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),자기 비하 금지,당당한 자존감,"""이 나이에 뭘..."" 이라는 말 대신 ""나도 한번 해볼까?""라고 하기","""스스로를 아끼고 도전하는 당신의 모습은 후배들에게 가장 큰 영감이 됩니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),대화의 끝,기분 좋은 작별,"헤어질 때 ""오늘 즐거웠어""라고 긍정적인 소감 한 줄 남기기","""행복한 마무리 인사는 다음 만남을 기다리게 하는 마법의 향기와 같습니다.""",,
,지혜로운 대화법 (대화 및 관계 매너),비밀 유지,입 무거운 선배,누군가 믿고 말해준 이야기는 절대 다른 곳에 옮기지 않기,"""당신의 굳게 다문 입술이 사람들을 당신 곁으로 모이게 하는 신뢰의 뿌리입니다.""",,
,여가의 정석 (산책로 및 취미 활동),등산/산책,음악의 공유 금지,산행 중 스마트폰이나 라디오 스피커를 크게 틀지 않기,"""자연의 소리를 함께 즐기려는 당신의 침묵이 산행의 가치를 높입니다.""",,
,여가의 정석 (산책로 및 취미 활동),산책로 우측,보행의 질서,"좁은 산책로에서는 우측으로 걷고, 길 중간에 멈춰 서지 않기","""길 위의 약속을 지키는 당신 덕분에 모두의 발걸음이 가벼워집니다.""",,
,여가의 정석 (산책로 및 취미 활동),공공 벤치,쉼터의 나눔,혼자 자리를 넓게 차지하지 않고 옆 사람도 앉을 수 있게 배려하기,"""당신이 내어준 벤치 한 칸이 지친 행인에게는 가장 따뜻한 의자가 됩니다.""",,
,여가의 정석 (산책로 및 취미 활동),운동 기구,사용의 독점 금지,공원 운동 기구는 한 번에 15분 내외로 쓰고 다음 사람에게 양보하기,"""기구를 나누어 쓰는 당신의 넉넉한 인심이 공원을 행복한 놀이터로 만듭니다.""",,
,여가의 정석 (산책로 및 취미 활동),쓰레기 회수,흔적 없는 퇴장,산이나 공원에서 발생한 쓰레기는 반드시 집으로 가져가거나 분리수거하기,"""당신이 지나간 자리의 깨끗함에서 품격 있는 어른의 향기가 느껴집니다.""",,
,여가의 정석 (산책로 및 취미 활동),인사 매너,가벼운 목례,산길에서 마주치는 사람들에게 가볍게 고개를 숙여 인사하기,"""반가운 눈인사 한 번에 낯선 산길이 다정한 이웃의 길로 바뀝니다.""",,
,여가의 정석 (산책로 및 취미 활동),임산물 보호,자연의 존중,등산로 주변의 산나물이나 꽃을 함부로 채취하거나 꺾지 않기,"""숲을 지키는 당신의 신중한 손길이 다음 세대에게 아름다운 자연을 물려줍니다.""",,
,여가의 정석 (산책로 및 취미 활동),애완견 동반,매너 벨트와 목줄,반려견과 산책 시 반드시 목줄을 착용하고 배설물은 즉시 치우기,"""생명을 책임지는 당신의 바른 습관이 성숙한 반려 문화를 만듭니다.""",,
,여가의 정석 (산책로 및 취미 활동),공공 화장실,깨끗한 뒤처리,공원 화장실 사용 후엔 세면대 물기를 닦고 휴지는 아껴 쓰기,"""작은 정리가 선사하는 쾌적함은 당신이 다음 이웃에게 전하는 선물입니다.""",,
,여가의 정석 (산책로 및 취미 활동),문화 센터,수업 준비의 예의,강의 시작 10분 전에 도착해 조용히 자리에 앉아 기다리기,"""시간을 지키는 당신의 정중함이 배움의 가치를 더욱 빛나게 합니다.""",,
,여가의 정석 (산책로 및 취미 활동),강의 집중,휴대폰 매너,수업 중에는 휴대폰을 진동으로 하고 가급적 가방에 넣어두기,"""강사와 동료에게 집중하는 당신의 눈빛이 강의실의 온도를 높입니다.""",,
,여가의 정석 (산책로 및 취미 활동),수업 중 질문,배려의 질문,나만 아는 질문을 길게 하기보다 모두에게 도움 되는 질문 짧게 하기,"""전체를 생각하는 당신의 사려 깊은 질문이 풍성한 배움을 완성합니다.""",,
,여가의 정석 (산책로 및 취미 활동),취미 도구,정리의 습관,"탁구, 배드민턴 등 공용 도구를 사용한 후엔 반드시 제자리에 두기","""물건의 자리를 지켜주는 당신의 세심함이 모두의 즐거움을 지킵니다.""",,
,여가의 정석 (산책로 및 취미 활동),텃밭 매너,경계의 준수,공동 텃밭에서 남의 작물을 만지지 않고 내 영역만 정성껏 가꾸기,"""선택된 영역을 성실히 가꾸는 당신의 땀방울이 신뢰라는 열매를 맺습니다.""",,
,여가의 정석 (산책로 및 취미 활동),사진 매너,배경의 배려,풍경 사진을 찍을 때 다른 사람의 얼굴이 나오지 않도록 각도 조절하기,"""타인의 초상권까지 챙기는 당신의 세심함은 참 수준 높은 어른의 자세입니다.""",,
,여가의 정석 (산책로 및 취미 활동),공연장 매너,공연 중 정숙,전시회나 공연 관람 시 옆 사람과 소곤거리며 대화하지 않기,"""당신의 정숙한 관람 태도가 예술 작품의 가치를 온전히 지켜줍니다.""",,
,여가의 정석 (산책로 및 취미 활동),대기 예약,노쇼 금지,취미 강좌나 시설 예약을 했다면 못 갈 경우 미리 알려 취소하기,"""약속을 소중히 여기는 당신의 신뢰가 더 많은 기회를 세상에 선물합니다.""",,
,여가의 정석 (산책로 및 취미 활동),도서관 매너,책장의 보존,"빌린 책은 깨끗이 보고, 읽은 후엔 북트럭에 바르게 놓기","""책을 아끼는 당신의 손길에서 지식에 대한 깊은 경의가 느껴집니다.""",,
,여가의 정석 (산책로 및 취미 활동),공공 샤워실,수질의 보호,수영장이나 목욕탕 사용 전 반드시 몸을 깨끗이 씻고 들어가기,"""공용 수질을 지키는 당신의 청결한 습관이 모두의 건강을 지킵니다.""",,
,여가의 정석 (산책로 및 취미 활동),음식 나눔,사전 양해,모임에서 음식을 나누어 줄 땐 상대가 먹어도 되는지 먼저 묻기,"""취향을 먼저 살피는 당신의 한 번 더 묻는 습관이 참 다정합니다.""",,
,여가의 정석 (산책로 및 취미 활동),조용한 쉼터,소음의 절제,정자나 쉼터에서 낮잠을 자거나 크게 코를 골지 않도록 주의하기,"""타인의 휴식을 방해하지 않는 당신의 조심스러움이 공간을 평화롭게 합니다.""",,
